"state","county","Obama","Romney","winner","total","margin","turnout"
"ID","Washington",25.5,72.2,"Romney",4232,46.7,2.3
"IL","Adams",31.5,66.7,"Romney",29998,35.2,1.8
"IL","Alexander",56.1,42.5,"Obama",3446,13.6,1.4
"IL","Bond",41.2,55.9,"Romney",7107,14.7,2.9
"IL","Boone",46.3,52,"Romney",20952,5.7,1.7
"IL","Brown",33.3,64,"Romney",2298,30.7,2.7
"IL","Bureau",48.9,49.1,"Romney",16269,0.200000000000003,2
"IL","Calhoun",41.9,55.9,"Romney",2518,14,2.2
"IL","Carroll",49.6,48.2,"Obama",7209,1.4,2.2
"IL","Cass",42.2,55.7,"Romney",4757,13.5,2.09999999999999
"IL","Champaign",52,45.2,"Obama",75464,6.8,2.8
"IL","Christian",37.4,60.4,"Romney",14360,23,2.2
"IL","Clark",33,65.5,"Romney",7725,32.5,1.5
"IL","Clay",26.8,70.9,"Romney",5765,44.1,2.3
"IL","Clinton",34,64,"Romney",16070,30,2
"IL","Coles",43.4,54.5,"Romney",20875,11.1,2.1
"IL","Cook",74,24.6,"Obama",1918327,49.4,1.4
"IL","Crawford",33.2,64.9,"Romney",8432,31.7,1.89999999999999
"IL","Cumberland",31,66.3,"Romney",5146,35.3,2.7
"IL","DeKalb",51.6,46.1,"Obama",40077,5.5,2.3
"IL","DeWitt",35.4,62.4,"Romney",7174,27,2.2
"IL","Douglas",30.8,67.6,"Romney",7757,36.8,1.60000000000001
"IL","DuPage",49.7,48.7,"Obama",390744,1,1.59999999999999
"IL","Edgar",32.8,65.6,"Romney",7688,32.8,1.60000000000001
"IL","Edwards",23.4,74.5,"Romney",3156,51.1,2.09999999999999
"IL","Effingham",23.2,75.3,"Romney",16346,52.1,1.5
"IL","Fayette",31.8,66.4,"Romney",8798,34.6,1.8
"IL","Ford",27.6,70.4,"Romney",5879,42.8,2
"IL","Franklin",40.5,57.3,"Romney",17498,16.8,2.2
"IL","Fulton",54.3,43.2,"Obama",14946,11.1,2.5
"IL","Gallatin",40,58.1,"Romney",2520,18.1,1.9
"IL","Greene",36,61.4,"Romney",5469,25.4,2.6
"IL","Grundy",44.5,53.4,"Romney",20517,8.9,2.1
"IL","Hamilton",32.2,65.2,"Romney",3832,33,2.59999999999999
